id,true_player,predicted_player,confidence,is_correct,true_position,pred_position
0,Troy Murphy,Troy Murphy,72.2061133703053,True,F,F
1,Chuck Hayes,Quincy Miller,62.465152862473246,False,F,F
2,Brent Barry,Corliss Williamson,64.6565488203,False,F,F
3,Craig Smith,Craig Smith,82.26656095232403,True,F,F
4,Stromile Swift,Stromile Swift,85.16235872279438,True,F,F
5,Charlie Bell,Charlie Bell,77.63510302759913,True,F,F
6,Dwyane Wade,Klay Thompson,43.28402508986628,False,G,G
7,Anderson Varejao,Anderson Varejao,73.53093610577166,True,C,C
8,Mickael Pietrus,Mickael Pietrus,89.26736038973706,True,F,F
9,Yakhouba Diawara,Kelenna Azubuike,48.98440854270648,False,F,F
10,Damon Stoudamire,Damon Stoudamire,77.02460148911061,True,F,F
11,Carlos Boozer,Carlos Boozer,88.86506510176679,True,F,F
12,Paul Millsap,Paul Millsap,79.31265304788818,True,F,F
13,Ime Udoka,Terry Rozier,41.75422429312848,False,F,F
14,Michael Doleac,Vassilis Spanoulis,49.91163034391597,False,F,F
15,Dwight Howard,Dwight Howard,71.38204372567472,True,C,C
16,Antoine Walker,Lou Amundson,57.84316678662618,False,F,F
17,Quentin Richardson,Luther Head,59.46838421650218,False,F,F
18,Renaldo Balkman,Jrue Holiday,43.97395391059572,False,F,F
19,J.R. Smith,J.R. Smith,92.11444819414758,True,G,G
20,Allen Iverson,Allen Iverson,75.35518053796076,True,F,F
21,Maurice Evans,Maurice Evans,75.11082157159818,True,F,F
22,Stephon Marbury,Stephon Marbury,88.7924901635564,True,F,F
23,Matt Barnes,Matt Barnes,72.12302191592437,True,F,F
24,Martell Webster,Martell Webster,81.44020510226775,True,F,F
25,Chris Webber,Will Solomon,43.159476376509595,False,F,F
26,Damon Jones,Michael Ruffin,49.45514486955809,False,F,F
27,Antawn Jamison,Antawn Jamison,84.07976521033208,True,F,F
28,Luther Head,Anthony Morrow,59.30713668612558,False,F,F
29,Antonio McDyess,Antonio McDyess,85.4769801036621,True,F,F
30,Ronnie Price,Ronnie Price,77.09704644233403,True,F,F
31,Matt Harpring,Matt Harpring,82.8264740700281,True,F,F
32,Antawn Jamison,Antawn Jamison,84.8669197588018,True,F,F
33,Mike Miller,Mike Miller,72.54521632387808,True,F,F
34,Luol Deng,Luol Deng,92.42493239304096,True,F,F
35,Trenton Hassell,Trenton Hassell,85.40284657660848,True,F,F
36,Juwan Howard,Juwan Howard,79.57155111685246,True,F,F
37,Antoine Walker,Antoine Walker,91.35891726364203,True,F,F
38,Charlie Bell,Jordan Crawford,44.64581498147187,False,F,F
39,LaMarcus Aldridge,LaMarcus Aldridge,86.13374885270032,True,F,F
40,Zydrunas Ilgauskas,Steve Francis,44.955460791795446,False,F,F
41,P.J. Brown,Derrick Favors,60.99035153136727,False,F,F
42,Smush Parker,Smush Parker,77.16499210546246,True,F,F
43,Udonis Haslem,Udonis Haslem,75.3302072428384,True,F,F
44,Carlos Arroyo,Carlos Arroyo,75.47293536766088,True,F,F
45,Deron Williams,Deron Williams,93.52870346522849,True,G,G
46,Baron Davis,Baron Davis,71.3455584503137,True,F,F
47,Allen Iverson,Allen Iverson,83.20355441462443,True,F,F
48,Kobe Bryant,Kobe Bryant,81.56349791052449,True,G,G
49,Stephon Marbury,Stephon Marbury,86.97251100655834,True,F,F
50,Eddy Curry,Andre Drummond,43.008948689594376,False,F,F
51,Brian Skinner,Brian Skinner,87.71873508271332,True,F,F
52,Anthony Parker,Anthony Parker,77.18383817735996,True,F,F
53,Charlie Bell,Charlie Bell,92.45723199960945,True,F,F
54,Mickael Pietrus,Mickael Pietrus,88.8509461689251,True,F,F
55,Jared Jeffries,Adrian Griffin,52.50490292197403,False,F,F
56,Jamal Sampson,Jamal Sampson,74.98048012268877,True,F,F
57,Sebastian Telfair,Sebastian Telfair,71.01763950851597,True,F,F
58,Marcus Camby,Marcus Camby,84.55397873149938,True,F,F
59,Francisco Garcia,Francisco Garcia,75.88312679418996,True,F,F
60,Gilbert Arenas,Chris Webber,53.160015854605604,False,F,F
61,Manu Ginobili,Manu Ginobili,75.55894006576165,True,G,G
62,Steve Nash,Steve Nash,83.43848251260546,True,G,G
63,Caron Butler,Caron Butler,83.1692216531334,True,F,F
64,Ben Gordon,Ben Gordon,93.36051155100378,True,G,G
65,Carlos Delfino,Carlos Delfino,94.40513863831262,True,F,F
66,David Noel,David Noel,90.51551573904305,True,F,F
67,Jake Tsakalidis,Jason Hart,45.10377300514724,False,F,F
68,Amar'e Stoudemire,Amar'e Stoudemire,78.46383187545324,True,F,F
69,Sam Cassell,Sam Cassell,71.55793071537629,True,F,F
70,Shaun Livingston,Shaun Livingston,81.92950669904914,True,F,F
71,Gordan Giricek,Gordan Giricek,70.26244175791672,True,F,F
72,Mike Sweetney,Mike Sweetney,91.05383804095115,True,F,F
73,Stephen Jackson,Marco Belinelli,58.86458251918643,False,F,F
74,Shammond Williams,Shammond Williams,90.20580792492423,True,F,F
75,Earl Boykins,Earl Boykins,86.51194127394068,True,F,F
76,Nate Robinson,Nate Robinson,85.90673055118823,True,F,F
77,Steve Francis,Steve Francis,93.56256196527599,True,F,F
78,Josh Smith,O.J. Mayo,40.31273489915549,False,F,F
79,Charlie Villanueva,Charlie Villanueva,73.64696995916702,True,F,F
80,Rajon Rondo,Jamal Crawford,53.09074795591261,False,G,G
81,Lorenzen Wright,Julius Randle,50.99002121481022,False,F,F
82,Danny Granger,Danny Granger,94.25765613354602,True,F,F
83,Ben Gordon,Ben Gordon,86.72676808444443,True,G,G
84,Eric Snow,Furkan Aldemir,52.866698050319926,False,F,F
85,Gerald Green,Gerald Green,76.29948758423531,True,F,F
86,David Lee,David Lee,79.26561639505807,True,F,F
87,Juan Dixon,Nick Fazekas,46.11833848377088,False,F,F
88,Shaquille O'Neal,Shaquille O'Neal,71.18181431906676,True,F,F
89,Jordan Farmar,Jordan Farmar,91.22139405730178,True,F,F
90,Luol Deng,Luol Deng,85.97392655194244,True,F,F
91,Ricky Davis,Ricky Davis,76.87811698036211,True,F,F
92,Andris Biedrins,Ryan Kelly,40.8076551500672,False,F,F
93,Samuel Dalembert,Samuel Dalembert,84.23440325165778,True,C,C
94,P.J. Brown,P.J. Brown,94.16093106668961,True,F,F
95,Matt Barnes,Matt Barnes,84.05644292049685,True,F,F
96,Chris Duhon,Chris Duhon,94.87645130374628,True,F,F
97,Randy Foye,Randy Foye,87.41355548350023,True,F,F
98,Matt Harpring,Terrence Williams,51.947564251470325,False,F,F
99,Stephen Jackson,Darko Milicic,52.1157400436127,False,F,F
100,Tyrus Thomas,Tyrus Thomas,92.41759493515674,True,F,F
101,Derek Fisher,Derek Fisher,75.36296980339142,True,F,F
102,Desmond Mason,Kasib Powell,62.28702391080317,False,F,F
103,Kenyon Martin,Kenyon Martin,79.62685868511407,True,F,F
104,Amar'e Stoudemire,Darius Johnson-Odom,43.75498162118713,False,F,F
105,LaMarcus Aldridge,Kelly Olynyk,54.10770897536097,False,F,F
106,Andrei Kirilenko,Andrei Kirilenko,70.5233464582389,True,F,F
107,Nene Hilario,Nene Hilario,88.80932969244306,True,C,C
