id,true_player,predicted_player,confidence,is_correct,true_position,pred_position
0,Troy Murphy,LaMarcus Aldridge,45.24618829409944,False,F,F
1,Chuck Hayes,Brent Barry,49.05906564073422,False,F,F
2,Brent Barry,Richard Hamilton,47.636488396477006,False,F,F
3,Craig Smith,Craig Smith,93.81736723248734,True,F,F
4,Stromile Swift,Marcus Banks,64.8034864227203,False,F,F
5,Charlie Bell,Jeff Green,42.966951839205514,False,F,F
6,Dwyane Wade,Dwyane Wade,92.05041841380132,True,G,G
7,Anderson Varejao,Anderson Varejao,82.38945694702602,True,C,C
8,Mickael Pietrus,Mickael Pietrus,75.92048874362118,True,F,F
9,Yakhouba Diawara,Yakhouba Diawara,94.91985887240895,True,F,F
10,Damon Stoudamire,Damon Stoudamire,83.97144851565419,True,F,F
11,Carlos Boozer,Carlos Boozer,78.32574659265316,True,F,F
12,Paul Millsap,Paul Millsap,75.87135668333408,True,F,F
13,Ime Udoka,Ime Udoka,70.16668186352277,True,F,F
14,Michael Doleac,Michael Doleac,94.08216749216562,True,F,F
15,Dwight Howard,Dwight Howard,91.75895443822323,True,C,C
16,Antoine Walker,Antoine Walker,85.77044627590185,True,F,F
17,Quentin Richardson,Anthony Johnson,51.98421238546184,False,F,F
18,Renaldo Balkman,Renaldo Balkman,87.77766655239631,True,F,F
19,J.R. Smith,Ray Allen,62.30991666912692,False,G,G
20,Allen Iverson,Allen Iverson,91.85832794785581,True,F,F
21,Maurice Evans,Maurice Evans,78.38600125482853,True,F,F
22,Stephon Marbury,Stephon Marbury,80.83337135362977,True,F,F
23,Matt Barnes,Ike Diogu,50.805155001612135,False,F,F
24,Martell Webster,Martell Webster,79.28063829260182,True,F,F
25,Chris Webber,Chris Webber,85.73269198730809,True,F,F
26,Damon Jones,Damon Jones,89.55558282402998,True,F,F
27,Antawn Jamison,Antawn Jamison,77.25693909269586,True,F,F
28,Luther Head,Luther Head,80.2423285798852,True,F,F
29,Antonio McDyess,Antonio McDyess,75.22629920650365,True,F,F
30,Ronnie Price,Ronnie Price,78.33669365216392,True,F,F
31,Matt Harpring,Matt Harpring,81.13563966950305,True,F,F
32,Antawn Jamison,Antawn Jamison,75.56802218522316,True,F,F
33,Mike Miller,Mike Miller,81.50635995757888,True,F,F
34,Luol Deng,Luol Deng,77.00386448526734,True,F,F
35,Trenton Hassell,Marco Belinelli,63.38722527508794,False,F,F
